rig_shou,rig_elbow,rig_hip,rig_knee,rig_heel,left_shou,left_elbow,left_hip,left_knee,left_heel
13.93983867,158.7843571,216.4472879,159.2192303,255.4500493,33.76895077,64.71409794,212.82631,166.7493005,256.4701405
11.55868465,174.9708103,214.3698128,160.3558119,250.8349407,30.34626587,214.4582774,209.4512736,167.4470623,251.6458654
9.077347122,198.3033664,211.5967229,164.1018424,247.9765861,23.89437696,197.5464539,204.8485932,168.3321568,250.1406733
10.09407813,191.6621759,211.8591645,165.9499863,248.1804707,20.331492,186.4348446,200.203473,172.0619379,244.2619148
8.629616914,189.4393643,210.9198261,170.0940044,248.6894666,17.0592417,178.5843246,198.3279954,173.7199667,241.7298337
9.778015996,179.297105,208.4469944,174.6750987,245.0660809,8.706355083,189.5148035,195.9485519,176.4481154,244.9019293
9.987101164,176.0815635,205.7758561,176.1341993,242.7610597,7.2245985,190.0628143,194.3976454,177.2387058,247.3079338
7.88452042,84.55054805,203.3209689,176.1008798,237.5478756,2.436791622,210.3738072,193.1054446,177.5795724,244.3679594
4.501082748,43.79587873,201.798258,173.1837026,236.2678848,2.361581499,219.9040615,190.4966119,179.3659319,240.3029536
4.710399548,32.53556989,200.8633225,169.275842,231.861101,8.335044058,46.907368,187.5937149,179.1071453,240.4718387
9.728716318,26.97665674,198.1928134,168.0945498,230.1753644,7.716647532,77.69047907,184.3179309,179.0846133,241.5630535
10.43930509,20.37368382,198.2526121,167.3690632,227.2083755,4.076539567,246.9083531,181.7767617,180.0783048,237.4478284
9.698018499,23.03585975,198.3157623,166.8150881,228.4142048,3.679437744,236.2870989,182.1669471,178.9952616,233.2494765
9.820279057,17.35218872,197.4475998,169.8671084,228.0877387,2.650509487,233.9185681,180.5308422,178.4033569,234.8680721
9.860164936,16.75516657,198.3197776,170.6782238,245.5599128,2.944678841,233.119552,178.8273974,177.2423248,236.4590851
12.58580374,22.07934443,197.8256323,170.4124263,253.1129436,3.557434014,227.6587838,178.7120155,175.0098465,237.5530998
14.20294055,0.902868198,198.1634081,168.4251985,259.4629621,6.004056743,221.413084,178.233621,173.5338898,235.8861078
13.08508842,4.630957876,197.7902834,167.6581882,254.2788786,4.486597906,214.8768883,178.6352469,173.4346997,213.7611498
13.5508153,9.577331829,198.3069029,166.3813939,250.5825952,4.545111543,213.0242518,178.4497138,173.3218122,212.9362544
12.9854585,265.0836761,199.171146,163.8143762,259.5870998,2.759653808,213.3707209,180.0528618,171.6845548,206.4641829
11.65427748,200.4966489,200.051023,162.191223,266.5367511,4.707481304,209.6934644,180.9258494,171.6493955,225.4620809
10.68982726,217.1599177,199.7434123,162.3538532,266.7608365,4.480132797,209.1435661,181.9016147,174.1251471,207.9839393
11.02853344,208.7344626,199.9551619,162.6826473,267.6570378,3.713000067,208.231344,183.1274836,175.6674592,227.2144988
10.83251049,201.4817049,199.3744323,164.4996118,261.2404973,4.706438699,206.8566087,183.584315,177.4285209,229.9786589
10.68591651,199.673405,199.4972687,164.7189548,260.5662082,5.03976068,206.297349,183.6553555,177.8164139,233.417507
10.57746111,192.7741878,199.2249765,164.839098,263.9041235,4.930329871,206.028914,183.6058652,179.3124844,226.7196297
10.64403421,197.118666,198.6998197,165.1925889,266.0275596,4.620782972,206.7543075,183.6149652,178.7561538,213.5457771
10.79915262,194.8049542,198.8552647,165.3167102,266.1144391,4.684459665,206.9005377,183.9133422,178.4971446,213.4583401
9.729183949,191.6805955,198.4905648,166.0156981,266.2181296,4.999096195,206.1441908,183.6167511,179.196246,241.5671282
8.042488982,194.6716287,197.3663019,167.5854121,266.0127563,5.366275947,205.5083987,183.7979888,179.4280801,228.985426
7.131929127,196.5181907,196.6881564,168.3941408,266.0456261,5.675661922,205.0663605,183.9345318,179.4321114,219.7711753
7.275456314,197.0642952,196.8262416,168.8081731,266.4137069,5.162810748,205.8952437,184.7110786,179.5717735,203.3631491
8.022544391,199.8741869,197.5285396,168.7156295,266.1872186,4.809505101,206.0418456,185.3942481,179.0146391,195.9702933
8.484878391,198.0688061,197.4582667,169.5708988,263.6221548,3.429031566,206.2966577,185.7393552,179.4782978,190.7292919
8.688400074,198.9845069,197.8258973,170.6106783,261.2400248,3.737564626,204.8705101,186.3528187,178.9821228,188.8285768
9.0729879,193.9523999,198.6585721,170.7509127,258.0241091,3.488737822,204.5068719,186.9690334,178.9775179,186.3568847
9.059495006,189.2424579,198.3408871,171.2310481,256.8253133,3.461310466,203.7629647,186.4108305,179.8452237,184.4802191
