rig_shou,rig_elbow,rig_hip,rig_knee,rig_heel,left_shou,left_elbow,left_hip,left_knee,left_heel
3.639570881,62.69783113,196.5960995,172.8105962,261.8605182,5.328602946,239.3883414,194.4860604,169.1679295,268.7390657
4.942215878,77.93411374,197.2283939,171.128547,263.5875223,6.370330944,241.3630332,196.6296078,166.0884812,268.7449819
5.573453231,82.94727634,197.5312053,170.3414268,263.6674028,6.920494345,241.60717,197.423072,164.30276,265.6977597
6.201503021,267.5152284,198.1777855,169.4699182,263.2944523,8.118073086,238.7667025,199.7797308,160.9896091,266.1887862
7.066271743,261.5651592,198.5254068,171.3341621,258.6930568,8.457108288,243.0695003,201.5716163,158.4095983,267.398551
7.225649738,78.24880928,200.3173892,171.6541519,255.2411282,8.558734861,241.4790637,202.7614119,157.7336085,266.2764265
6.571565071,241.7421872,203.6275642,171.5000638,249.5736824,8.876729899,236.6936159,203.6074597,159.0078711,266.7528857
15.85931835,204.5026771,205.4720469,171.3730155,254.9490268,9.371066231,233.4995623,204.594033,161.3940981,269.1966155
12.28559532,212.8498781,205.6327848,170.0132716,253.7781538,10.20397231,230.8985377,205.5820071,161.3970138,270.260748
10.09683802,217.4757986,206.6339044,169.1750432,252.1455133,10.48774702,224.9348857,207.3360963,161.8433822,270.0532859
7.941800862,206.2441155,208.489544,170.2257162,251.5879357,10.45203445,215.497607,208.5846093,163.5735119,268.8216523
4.087056759,211.2869251,210.174743,173.0245396,91.64009465,11.13122736,208.1526915,209.4780811,163.8777382,270.8756816
4.041601934,207.6060415,212.813854,172.5283597,258.6385262,12.30087998,200.3515358,210.8464271,163.8481896,270.7601851
6.249560386,202.1131188,215.8356055,170.76903,259.3964047,12.98187686,195.538716,212.252935,164.2731917,269.3974085
7.342708058,200.9653236,216.850209,168.3306506,261.1790508,13.36995386,194.6610303,213.0075943,163.7734503,265.9876432
10.25450211,198.2749521,220.2136151,164.1901358,262.3100668,14.49580757,191.6633755,213.9055353,163.9450297,262.8270626
12.57910903,192.4719047,224.4904669,174.2435415,89.13115051,14.50514318,188.7907794,215.6266029,162.7450669,262.6146828
14.21682769,189.574003,226.1184604,170.6433706,261.8853433,15.20173007,187.5186964,218.428019,160.9446351,261.1174119
15.27003065,186.751946,225.5940723,172.3144755,262.9011986,16.56940318,186.5169903,219.869944,160.3244224,251.7659926
16.05568126,187.6398073,225.4773522,174.4089283,261.725565,17.27225047,185.9694122,221.1151136,159.5767194,252.0854004
16.45179633,187.8127159,226.7085131,173.5767024,262.8182829,17.52344854,185.9150249,221.4704492,159.5431725,250.3531852
