LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_ELBOW_X,LEFT_ELBOW_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,LEFT_WRIST_X,LEFT_WRIST_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,LEFT_PINKY_X,LEFT_PINKY_Y,RIGHT_PINKY_X,RIGHT_PINKY_Y,LEFT_INDEX_X,LEFT_INDEX_Y,RIGHT_INDEX_X,RIGHT_INDEX_Y,LEFT_THUMB_X,LEFT_THUMB_Y,RIGHT_THUMB_X,RIGHT_THUMB_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,LEFT_KNEE_X,LEFT_KNEE_Y,RIGHT_KNEE_X,RIGHT_KNEE_Y,LEFT_ANKLE_X,LEFT_ANKLE_Y,RIGHT_ANKLE_X,RIGHT_ANKLE_Y,LEFT_HEEL_X,LEFT_HEEL_Y,RIGHT_HEEL_X,RIGHT_HEEL_Y,LEFT_FOOT_INDEX_X,LEFT_FOOT_INDEX_Y,RIGHT_FOOT_INDEX_X,RIGHT_FOOT_INDEX_Y
0.571178257,0.425765902,0.55402559,0.437039405,0.578167319,0.525712729,0.563530147,0.517541528,0.549955547,0.545183241,0.5409289,0.509060383,0.540966034,0.553734303,0.535729051,0.516084194,0.540681183,0.539306462,0.534486234,0.507000685,0.543460011,0.535852849,0.53774029,0.496204048,0.599268794,0.5967682,0.583444118,0.597753644,0.586886704,0.73395443,0.569309354,0.727381229,0.593793094,0.879930735,0.568096578,0.867228448,0.603163481,0.897759438,0.571979284,0.885663629,0.567321956,0.902119339,0.535910964,0.891444623
0.570931077,0.428419918,0.553907216,0.437866509,0.576450586,0.527372003,0.562046587,0.518745363,0.546656311,0.545866549,0.540100932,0.516315103,0.539413512,0.553985536,0.533074737,0.526086152,0.538838685,0.539842546,0.534491181,0.515096605,0.541368365,0.536257088,0.537551582,0.506859004,0.599282086,0.596702695,0.584089577,0.597771645,0.5824489,0.73249197,0.56929487,0.726832509,0.591159046,0.879204869,0.568432271,0.866140842,0.602169335,0.896778107,0.575773716,0.88592726,0.563761115,0.902244329,0.53831923,0.891688347
0.570779562,0.429786772,0.553823948,0.43861559,0.575554132,0.528072894,0.561278403,0.519306004,0.545427918,0.546299279,0.539634585,0.518635452,0.538643897,0.55423665,0.532009482,0.529662788,0.537992954,0.540283978,0.534494519,0.517662585,0.540465593,0.536602676,0.537432551,0.510022879,0.599298775,0.596602321,0.584335446,0.597782791,0.580981791,0.731697023,0.569275141,0.726381063,0.589893937,0.878502667,0.568955719,0.865248978,0.603649497,0.893481791,0.577578008,0.885927081,0.56327337,0.902269006,0.540447533,0.892015159
0.570049584,0.431232452,0.553532481,0.440568,0.573460519,0.529384971,0.560539663,0.52134639,0.543598235,0.548943877,0.539687276,0.524070382,0.536611676,0.554886103,0.533420205,0.529102206,0.536046982,0.540822566,0.534494519,0.518378973,0.538868725,0.538039923,0.53749913,0.510838091,0.599501729,0.596435905,0.584502935,0.597566068,0.576666415,0.730431378,0.568647027,0.726357758,0.589220941,0.876641273,0.574786603,0.860362589,0.603364944,0.892775893,0.578432083,0.885814309,0.561092019,0.902652204,0.540057719,0.892730772
0.569361567,0.433093429,0.553265929,0.44401288,0.572897613,0.531745255,0.559820116,0.529621482,0.540190339,0.549862742,0.539707422,0.534195721,0.532450974,0.554962814,0.533488274,0.529737651,0.532055557,0.540921748,0.534466386,0.523961067,0.535456479,0.538668036,0.537284911,0.520836532,0.599668622,0.596457779,0.584365249,0.597635329,0.57365191,0.729536951,0.56837523,0.726356745,0.589503407,0.874880195,0.564359903,0.860211849,0.603977561,0.892703235,0.572737992,0.884052634,0.561198354,0.902682006,0.533925533,0.892935932
0.568849206,0.435133696,0.551409364,0.449374437,0.572985291,0.53271997,0.558987081,0.533281565,0.538294494,0.553521395,0.537954807,0.530851483,0.530551612,0.55676496,0.531452894,0.528790474,0.529720664,0.543002009,0.533300757,0.516996086,0.532798827,0.541707039,0.534559131,0.520092845,0.600113928,0.596191347,0.583935618,0.597483933,0.572905838,0.726705492,0.566250563,0.724423647,0.589538336,0.873877883,0.557457685,0.858644605,0.603491902,0.891883075,0.567389429,0.881831348,0.560312212,0.902820647,0.526502669,0.89291966
0.568543196,0.437599897,0.545648456,0.456359565,0.573031545,0.534202337,0.558497906,0.543082893,0.538644314,0.559155464,0.538012385,0.558344424,0.530929208,0.562750816,0.531243265,0.560497344,0.529182434,0.549750507,0.532405496,0.548943996,0.531908035,0.548015416,0.53441745,0.547314763,0.600706398,0.595167637,0.583379686,0.597178996,0.573087573,0.724321663,0.56438458,0.722364068,0.586644828,0.872884691,0.554498374,0.854243457,0.599354923,0.891649365,0.564037263,0.877718925,0.55415684,0.901395679,0.524440229,0.892364919
0.567585945,0.440544039,0.539911747,0.460051358,0.572578251,0.536310375,0.541892529,0.54622519,0.537206531,0.565452576,0.53464973,0.563135386,0.529717684,0.571324229,0.529814482,0.567017972,0.526603043,0.559195757,0.531148672,0.55872792,0.529419541,0.557052255,0.532672524,0.554434776,0.601643205,0.59602493,0.582297504,0.597180247,0.573702693,0.724832177,0.564163506,0.721545577,0.582621872,0.872927964,0.555844069,0.850456297,0.592495263,0.893245518,0.565045118,0.874141753,0.547632635,0.898889482,0.523797095,0.885489404
0.566542864,0.443834901,0.540609419,0.458728164,0.571582973,0.539396226,0.547283292,0.543785751,0.537448823,0.570261061,0.534750819,0.566999435,0.530290604,0.575871825,0.529961228,0.572234869,0.527532578,0.564040959,0.530860484,0.563500404,0.529790759,0.561522901,0.53206867,0.560118139,0.602347016,0.596210599,0.582197607,0.59671855,0.574089885,0.725172102,0.563131928,0.719017029,0.581989408,0.872678459,0.557494044,0.848191857,0.592487216,0.893318117,0.566112876,0.870688438,0.549871564,0.89778465,0.525024712,0.883523583
0.565229297,0.445662737,0.539999843,0.464505672,0.571611047,0.539708555,0.55199194,0.554169595,0.537764013,0.578572631,0.536057591,0.581927359,0.530802429,0.58350569,0.53159976,0.587228417,0.528336287,0.574059367,0.531871736,0.578721762,0.53044647,0.572547495,0.53362596,0.576327145,0.603797972,0.596207559,0.5823313,0.59703064,0.574169576,0.724887192,0.56326592,0.718512535,0.580324173,0.87285316,0.56474787,0.849695683,0.589541614,0.894115269,0.568318069,0.870351434,0.54702872,0.897937119,0.531106055,0.883719385
